time_s,mean_preferred_raw
0.0,-3.9619221691860056
0.5,-4.7640017180483625
1.0,-5.324797302836642
1.5,-5.666431028277793
2.0,-5.811024999098767
2.5,-5.780701320026509
3.0,-5.597582095787967
3.5,-5.28378943111009
4.0,-4.861445430719828
4.5,-4.352672199344124
5.0,-3.7795918417098417
5.5,-3.084979788039098
6.0,-2.4200267699975857
6.5,-1.8569017315181018
7.0,-1.2794426323285009
7.5,-0.7375287383750612
8.0,-0.33752295430949414
8.5,-0.08647850647584539
9.0,-0.027699035488790713
9.5,-0.16887356171486245
10.0,-0.3181243965324678
10.5,-0.4378086223693772
11.0,-0.670280884593895
11.5,-1.053345081954061
12.0,-1.4822582306921204
12.5,-1.8382679197395397
13.0,-2.0455900471148714
13.5,-2.101426719534201
14.0,-1.9708769577323244
14.5,-1.6748095564863281
15.0,-1.2552623359978183
15.5,-0.7577937386487004
16.0,-0.30335689802758475
16.5,0.05390704720295827
17.0,0.38202302020676493
17.5,0.7831295460294929
18.0,1.3338812308074628
18.5,2.1264532684436896
19.0,3.1782170674881094
19.5,4.448792974821136
20.0,6.074489262879563
20.5,8.083373257086208
21.0,10.322489562521293
21.5,12.704836026664893
22.0,15.297311572721206
22.5,18.048358084820496
23.0,20.67719345643177
23.5,23.089053585569996
24.0,25.34249017041543
24.5,27.243797679660346
25.0,28.628265564946144
25.5,29.46968383996459
26.0,29.699586496252305
26.5,29.48481412902922
27.0,29.04534060451471
27.5,28.403499542922805
28.0,27.574659212806335
28.5,26.580678946162635
29.0,25.414621308564467
29.5,24.26549213525543
30.0,23.311586730930813
30.5,22.448697327524684
31.0,21.62324624026992
31.5,20.89439161775802
32.0,20.189402350597657
32.5,19.350112239212947
33.0,18.39374189553514
33.5,17.571022452282612
34.0,16.889655902009963
34.5,16.174315087951655
35.0,15.494024923054246
35.5,14.839858207210957
36.0,14.144658780885457
36.5,13.474238005885915
37.0,12.804576707027065
37.5,12.035457354405926
38.0,11.128048935735476
38.5,10.159145429828579
39.0,9.229227237996037
39.5,8.344078771396484
40.0,7.407271079894283
40.5,6.4386392226092
41.0,5.534510694370236
41.5,4.631718505075782
42.0,3.6929406792650146
42.5,2.8027302143944457
43.0,2.01872576047245
43.5,1.3446023450484936
44.0,0.6806870701921678
44.5,0.015957090224127207
45.0,-0.5393914979903394
45.5,-1.0348795677800684
46.0,-1.5078292084307277
46.5,-1.8627464322955973
47.0,-2.0730366401894753
47.5,-2.229865887821315
48.0,-2.4048242335603836
48.5,-2.5837147385000345
49.0,-2.8475527829185174
49.5,-3.1707315626908694
50.0,-3.464508419727521
50.5,-3.7894183594941993
51.0,-4.177588276114282
51.5,-4.543574362940865
52.0,-4.841271038614044
52.5,-5.212686011765862
53.0,-5.718390064454032
53.5,-6.243213526641692
54.0,-6.720375110618062
54.5,-7.133193205783294
55.0,-7.4527124695942595
55.5,-7.662938423672629
56.0,-7.735794236149914
56.5,-7.692097352182671
57.0,-7.6038694794644455
57.5,-7.509986073487924
58.0,-7.481773984921379
58.5,-7.600327864769237
59.0,-7.797384041802618
59.5,-7.98128008331972
60.0,-8.200081948844565
60.5,-8.465859703297392
61.0,-8.805724988165851
61.5,-9.260881918116214
62.0,-9.82720513982562
62.5,-10.457291261925247
63.0,-11.046345902059683
63.5,-11.587959540979446
64.0,-12.080964093827944
64.5,-12.488222022430937
65.0,-12.807808038674596
65.5,-13.009220051457605
66.0,-13.10278669585689
66.5,-13.16557283355858
67.0,-13.258641657485592
67.5,-13.364277554743078
68.0,-13.508797006200092
68.5,-13.684717538079324
69.0,-13.742419100036502
69.5,-13.677799630069165
70.0,-13.54301494851819
70.5,-13.365971013684828
71.0,-13.205075356717815
71.5,-12.985072774665946
72.0,-12.689608010690042
72.5,-12.357950829332225
73.0,-11.931255902134168
73.5,-11.432876903779968
74.0,-10.885245008838266
74.5,-10.355928012928812
75.0,-9.795699359250362
75.5,-9.286036519683243
76.0,-8.851157303943749
76.5,-8.515279521748
77.0,-8.302620982812114
77.5,-8.237399496852197
78.0,-8.343832873584372
78.5,-8.64613892272475
79.0,-9.168535453989449
79.5,-9.935240277094584
